source,target,weight,e_type
1556784464067547100,76060826,3.0,MENTIONS
1556784464067547100,260871480,10.0,MENTIONS
1556784464067547100,91057572,3.0,MENTIONS
1556784464067547100,372320474,2.0,MENTIONS
1556784464067547100,220715411,1.0,MENTIONS
1556784464067547100,312887235,1.0,MENTIONS
1556784464067547100,141762845,1.0,MENTIONS
325851006,325851006,3.0,MENTIONS
325851006,154263029,2.0,MENTIONS
325851006,312887235,1.0,MENTIONS
325851006,260871480,1.0,MENTIONS
325851006,429363031,1.0,MENTIONS
1316792082,47963334,1.0,MENTIONS
1115850320,126672796,1.0,MENTIONS
1115850320,455831037,1.0,MENTIONS
1115850320,154263029,2.0,MENTIONS
1115850320,141762845,1.0,MENTIONS
1115850320,574030082,1.0,MENTIONS
1115850320,1462180662,1.0,MENTIONS
3022802001,154263029,5.0,MENTIONS
3022802001,67763981,1.0,MENTIONS
147186416,232888907,1.0,MENTIONS
147186416,260871480,1.0,MENTIONS
826142851,17891333,1.0,MENTIONS
71021430,154263029,3.0,MENTIONS
71021430,260871480,1.0,MENTIONS
1147961174639697900,67763981,1.0,MENTIONS
67763981,154263029,1.0,MENTIONS
67763981,592869404,1.0,MENTIONS
150251965,154263029,1.0,MENTIONS
150251965,260871480,1.0,MENTIONS
4738072875,154263029,1.0,MENTIONS
1010596706977796100,314648805,1.0,MENTIONS
146892019,150902859,1.0,MENTIONS
146892019,429363031,1.0,MENTIONS
146892019,153528231,1.0,MENTIONS
49229700,49849732,1.0,MENTIONS
722950850,49849732,1.0,MENTIONS
1274934339688632300,1495621835056107520,1.0,MENTIONS
592869404,154263029,5.0,MENTIONS
592869404,1485419634,1.0,MENTIONS
592869404,260871480,2.0,MENTIONS
592869404,179584524,2.0,MENTIONS
592869404,49849732,1.0,MENTIONS
300815030,3152187820,1.0,MENTIONS
300815030,715172797694263297,1.0,MENTIONS
300815030,1428910050,1.0,MENTIONS
701480719407784000,17813487,1.0,MENTIONS
701480719407784000,35013719,1.0,MENTIONS
1348822427636297700,100583387,1.0,MENTIONS
1348822427636297700,154263029,1.0,MENTIONS
103067293,113739211,1.0,MENTIONS
155703444,49849732,1.0,MENTIONS
45013575,49849732,4.0,MENTIONS
229812269,260871480,1.0,MENTIONS
229812269,76060826,1.0,MENTIONS
229812269,2336831455,1.0,MENTIONS
229812269,49849732,1.0,MENTIONS
229812269,100583387,1.0,MENTIONS
229812269,325851006,1.0,MENTIONS
1045455303385460700,49849732,2.0,MENTIONS
303852192,73024871,1.0,MENTIONS
303852192,1034967653163692032,1.0,MENTIONS
303852192,282277042,1.0,MENTIONS
765801386,9633802,1.0,MENTIONS
765801386,154263029,5.0,MENTIONS
765801386,592869404,1.0,MENTIONS
1254757078205436000,626592458,1.0,MENTIONS
1254757078205436000,27570569,1.0,MENTIONS
1254757078205436000,521611526,1.0,MENTIONS
1254757078205436000,126204564,1.0,MENTIONS
1374741347224141800,154263029,1.0,MENTIONS
1374741347224141800,260871480,1.0,MENTIONS
68722944,49849732,1.0,MENTIONS
1038606038138667000,24540687,1.0,MENTIONS
478980721,67763981,1.0,MENTIONS
478980721,592869404,1.0,MENTIONS
478980721,154263029,1.0,MENTIONS
478980721,260871480,1.0,MENTIONS
478980721,1485419634,1.0,MENTIONS
478980721,1089295801,1.0,MENTIONS
1248964680544145400,154263029,7.0,MENTIONS
1248964680544145400,260871480,5.0,MENTIONS
1248964680544145400,312887235,2.0,MENTIONS
1248964680544145400,429363031,1.0,MENTIONS
1248964680544145400,4827256030,1.0,MENTIONS
