source,target,weight,e_type
169155765,nevadodelruiz,4.0,HASHTAGS
169155765,bcnoticias,1.0,HASHTAGS
169155765,noticias,1.0,HASHTAGS
169155765,manizales,1.0,HASHTAGS
169155765,cafe,1.0,HASHTAGS
1497937221185421300,alerta,1.0,HASHTAGS
1497937221185421300,volcannevadodelruiz,1.0,HASHTAGS
1497937221185421300,gestiónderiesgos,1.0,HASHTAGS
1497937221185421300,salvarvidas,1.0,HASHTAGS
1497937221185421300,colombia,1.0,HASHTAGS
2585492194,calamidadpública,1.0,HASHTAGS
2585492194,caldas,1.0,HASHTAGS
2585492194,volcánnevadodelruíz,1.0,HASHTAGS
1163225171358081000,nevadodelruiz,4.0,HASHTAGS
1163225171358081000,nevadosdecolombia,2.0,HASHTAGS
1163225171358081000,volcanesdecolombia,2.0,HASHTAGS
1163225171358081000,volcanenalerta,1.0,HASHTAGS
1163225171358081000,colombia,1.0,HASHTAGS
1542928944546173000,volcán,1.0,HASHTAGS
1542928944546173000,nevadodelruiz,1.0,HASHTAGS
1542928944546173000,colombia,1.0,HASHTAGS
1115850320,faunayflora,1.0,HASHTAGS
1115850320,nevadodelruiz,8.0,HASHTAGS
1115850320,volcanenalerta,1.0,HASHTAGS
1115850320,volcannevadodelruiz,5.0,HASHTAGS
1115850320,alertanaranja,2.0,HASHTAGS
1115850320,evacuacion,1.0,HASHTAGS
1115850320,prevencion,1.0,HASHTAGS
1115850320,emergencia,2.0,HASHTAGS
1115850320,bomberos,1.0,HASHTAGS
1115850320,alerta,2.0,HASHTAGS
1115850320,precaucion,1.0,HASHTAGS
1115850320,erupcion,1.0,HASHTAGS
1115850320,animales,1.0,HASHTAGS
1115850320,lagunadelotun,1.0,HASHTAGS
1115850320,agua,1.0,HASHTAGS
1115850320,ceniza,1.0,HASHTAGS
1115850320,riesgo,1.0,HASHTAGS
142052425,colombia,1.0,HASHTAGS
142052425,alerta,1.0,HASHTAGS
142052425,volcannevadodelruiz,1.0,HASHTAGS
142052425,acciónagroclimática,1.0,HASHTAGS
142052425,gestiónderiesgos,1.0,HASHTAGS
392144045,volcannevadodelruiz,1.0,HASHTAGS
254121584,sismos,1.0,HASHTAGS
254121584,07abri,1.0,HASHTAGS
254121584,colombia,2.0,HASHTAGS
254121584,volcánnevadodelruiz,2.0,HASHTAGS
254121584,12abr,1.0,HASHTAGS
301540491,nevadodelruiz,2.0,HASHTAGS
301540491,patriahonorlealtad,1.0,HASHTAGS
301540491,aestahora,1.0,HASHTAGS
301540491,caldas,1.0,HASHTAGS
1556784464067547100,nevadodelruiz,12.0,HASHTAGS
1556784464067547100,caldas,3.0,HASHTAGS
1556784464067547100,dosquebradas,1.0,HASHTAGS
1556784464067547100,risaralda,2.0,HASHTAGS
1556784464067547100,volcanenalerta,2.0,HASHTAGS
1556784464067547100,volcannevadodelruiz,1.0,HASHTAGS
1556784464067547100,volcan,1.0,HASHTAGS
1316792082,aestahora,2.0,HASHTAGS
1316792082,carder,1.0,HASHTAGS
1316792082,volcánnevadodelruíz,1.0,HASHTAGS
1316792082,alertavolcán,1.0,HASHTAGS
1316792082,alertavólcan,1.0,HASHTAGS
1316792082,nevadodelruíz,1.0,HASHTAGS
3022802001,nevadodelruiz,9.0,HASHTAGS
3022802001,villamaria,1.0,HASHTAGS
147186416,volcánnevadodelruiz,1.0,HASHTAGS
147186416,volcannevadodelruiz,1.0,HASHTAGS
826142851,volcánnevadodelruiz,1.0,HASHTAGS
826142851,santarosadecabal,1.0,HASHTAGS
53834598,nevadodelruiz,1.0,HASHTAGS
732573629322563600,alertanaranja,1.0,HASHTAGS
732573629322563600,volcannevadodelruiz,1.0,HASHTAGS
1258257984,volcannevadodelruiz,1.0,HASHTAGS
71021430,simulacronacional,1.0,HASHTAGS
71021430,nevadodelruiz,3.0,HASHTAGS
1147961174639697900,manizales,1.0,HASHTAGS
1147961174639697900,volcannevadodelruiz,1.0,HASHTAGS
1558587090669027300,nevadodelruiz,1.0,HASHTAGS
1558587090669027300,volcannevadodelruiz,1.0,HASHTAGS
1558587090669027300,petropresidente,1.0,HASHTAGS
150251965,volcannevadodelruiz,3.0,HASHTAGS
4738072875,volcánnevadodelruiz,1.0,HASHTAGS
1010596706977796100,volcannevadodelruiz,1.0,HASHTAGS
146892019,volcannevadodelruiz,1.0,HASHTAGS
922133788716687400,volcánnevadodelruíz,4.0,HASHTAGS
922133788716687400,calamidadpública,1.0,HASHTAGS
922133788716687400,caldas,1.0,HASHTAGS
49229700,colombia,1.0,HASHTAGS
49229700,nevadodelruiz,1.0,HASHTAGS
429363031,caldas,1.0,HASHTAGS
429363031,calamidadpública,1.0,HASHTAGS
429363031,volcánnevadodelruíz,2.0,HASHTAGS
429363031,miércoles,1.0,HASHTAGS
722950850,video,1.0,HASHTAGS
722950850,nevadodelruiz,1.0,HASHTAGS
150902859,calamidadpública,1.0,HASHTAGS
